Employee Number,Email Address,Phone Number,First Name,Last Name,Sex,BVN,NIN
100,jolly@gmail.com,07062908604,Zazu,Rank,M,89797978789,81978678799
200,jolly@gmail.com,07062908604,Bintu,Rank,F,89797978789,81978678799
300,jolly@gmail.com,07062908604,Kanti,Rank,M,89797978789,81978678799
400,jolly@gmail.com,07062908604,Dora,Rank,F,89797978789,81978678799
500,jolly@gmail.com,07062908604,Glory,Rank,M,89797978789,81978678799
600,jolly@gmail.com,07062908604,Georgina,Rank,F,89797978789,81978678799
100,jolly@gmail.com,07062908604,Happy,Rank,M,89797978789,81978678799
700,jolly@gmail.com,07062908604,Oginikwa,Rank,F,89797978789,81978678799
800,jolly@gmail.com,07062908604,Jubilee,Rank,M,89797978789,81978678799
900,jolly@gmail.com,07062908604,Fanta,Rank,F,89797978789,81978678799
