Employee Number,First Name,Last Name,Sex,Date Deployed,Date of Birth,Address,Phone Number
500,Jordan,Calvey,Female,2349133823333,24/06/2003,"Rivers, Nigeria",2349133828389
501,High,Halu,Male,04/03/2021,25/06/2003,"Rivers, Nigeria",2349133838383
502,High,Haou,Male,05/03/2021,26/06/2003,2349133828389,06/03/2021
503,High,Hapo,Male,06/03/2021,27/06/2003,"Rivers, Nigeria",2349133822222
504,High,2349133828389,Male,07/03/2021,28/06/2003,"Rivers, Nigeria",2349133823333
505,High,Haku,Male,08/03/2021,2349133823333,"Rivers, Nigeria",2349133824444
506,High,Htru,06/03/2021,09/03/2021,30/06/2003,"Rivers, Nigeria",2349133828595
507,2349133828389,Haui,Male,10/03/2021,01/07/2003,"Rivers, Nigeria",06/03/2021
06/03/2021,High,Hayr,Male,11/03/2021,02/07/2003,"Rivers, Nigeria",2349133829993
509,High,Hawe,Male,12/03/2021,03/07/2003,"Rivers, Nigeria",2349133844489
