Employee Number,First Name,Last Name,Sex,Date Deployed,Date of Birth,Address,Phone Number
500,,Calvey,Female,03/03/2021,24/06/2003,"Rivers, Nigeria",2349133828389
,High,Halu,Male,04/03/2021,25/06/2003,"Rivers, Nigeria",2349133838383
502,High,Haou,Male,05/03/2021,26/06/2003,"Rivers, Nigeria",2349133820943
503,High,,Male,06/03/2021,27/06/2003,"Rivers, Nigeria",
504,High,Hapu,Male,07/03/2021,,"Rivers, Nigeria",2349133823333
505,High,Haku,Male,08/03/2021,29/06/2003,"Rivers, Nigeria",2349133824444
506,High,Htru,,09/03/2021,30/06/2003,"Rivers, Nigeria",2349133828595
507,High,Haui,Male,10/03/2021,01/07/2003,"Rivers, Nigeria",
508,High,Hayr,Male,11/03/2021,02/07/2003,"Rivers, Nigeria",2349133829993
509,High,Hawe,Male,,03/07/2003,"Rivers, Nigeria",2349133844489
